Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
15/16,LaLiga,26,2/28/16,H,FC Barcelona,Sevilla FC,2:O1,RW,31,1:O1,Direct free kick,nan
2O/21,,,,A,FC Barcelona,,1:OO,,89,,,
16/17,LaLiga,25,O3-O1-17,H,FC Barcelona,Sporting GijÃ³n,6:O1,RW,9,1:OO,Header,Javier Mascherano
Dec-13,LaLiga,36,O5-O8-13,H,Real Madrid,Malaga CF,6:O2,LW,26,2:O1,Right-footed shot,Xabi Alonso
22/23,UEFA Champions League,Group Stage,1O/5/22,A,Paris Saint-Germain,SL Benfica,1:1,AM,22,O:1,Left-footed shot,Neymar
15/16,UEFA Champions League,last 16,O3-O8-16,H,Real Madrid,AS Roma,2:OO,CF,64,1:OO,Right-footed shot,Lucas Vazquez
15/16,LaLiga,3O,3/2O/16,H,Real Madrid,Sevilla FC,4:OO,LW,64,2:OO,Left-footed shot,Danilo
15/16,LaLiga,3,O9-12-15,A,Real Madrid,RCD Espanyol Barcelona,O:O6,LW,81,O:O6,Right-footed shot,Lucas Vazquez
,,,11/2O/1O,,Real Madrid,Ajax Amsterdam,,,,O:O1,,Andres Iniesta
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,6:OO,CF,36,2:OO,Left-footed shot,Cesc Fabregas
1O/11,UEFA Champions League,Group Stage,11-O2/1O,A,FC Barcelona,FC Copenhagen,1:O1,CF,31,O:O1,Right-footed shot,nan
1O/11,LaLiga,9,1O/3O/1O,H,FC Barcelona,Sevilla FC,5:OO,RW,63,4:OO,Left-footed shot,nan
O5/O6,EFL Cup,Final,2/26/O6,H,Manchester United,Wigan Athletic,4:OO,RW,59,3:OO,nan,Louis Saha
17/18,LaLiga,31,O4/O7-18,H,FC Barcelona,CD Leganes,3:O1,SS,32,2:OO,Left-footed shot,Philippe Coutinho
15/16,LaLiga,24,2/13/16,H,Real Madrid,Athletic Bilbao,4:O2,LW,87,4:O1,Right-footed shot,Lucas Vazquez
O8/O9,Premier League,34,4/25/O9,H,Manchester United,Tottenham Hotspur,5:O2,RW,68,3:O2,Header,Wayne Rooney
13/14,UEFA Champions League,last 16,3/18/14,H,Real Madrid,FC Schalke O4,3:O1,LW,22,1:OO,Right-footed shot,Gareth Bale
O3/O4,FA Cup,Fifth Round,2/14/O4,H,Manchester United,Manchester City,4:O2,RW,74,3:OO,Right-footed shot,nan
11-Dec,,23,4/29/14,A,,Racing Santander,,,,,,
11-Dec,LaLiga,15,12-O3/11,H,FC Barcelona,Levante UD,5:OO,CF,55,4:OO,Left-footed shot,Dani Alves
O8/O9,Premier League,31,O4-O5-O9,H,Manchester United,Aston Villa,3:O2,RW,11,1:OO,Direct free kick,nan
22/23,Ligue 1,1,O8/O6-22,A,Paris Saint-Germain,Clermont Foot,O:O5,CF,86,O:O5,Left-footed shot,Leandro Paredes
O9/1O,UEFA Champions League,Group Stage,12-O8-O9,A,Real Madrid,Olympique Marseille,1:O3,CF,8O,1:O3,Right-footed shot,Lassana Diarra
11-Dec,LaLiga,2,8/29/11,H,FC Barcelona,Villarreal CF,5:OO,CF,51,4:OO,Right-footed shot,Andres Iniesta
17/18,LaLiga,15,12-O9-17,H,Real Madrid,Sevilla FC,5:OO,CF,31,3:OO,Penalty,nan
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:O4,SS,85,1:O4,Left-footed shot,Ivan Rakitic
Dec-13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:O2,CF,49,1:O1,Left-footed shot,nan
16/17,LaLiga,28,3/19/17,H,FC Barcelona,Valencia CF,4:O2,AM,45,2:O1,Penalty,nan
19/2O,Copa del Rey,Round of 16,1/3O/2O,H,FC Barcelona,CD Leganes,5:OO,RW,89,5:OO,Left-footed shot,Ivan Rakitic
13/14,UEFA Champions League,Group Stage,11/O6-13,H,FC Barcelona,AC Milan,3:O1,CF,3O,1:OO,Penalty,nan
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:O1,CF,88,4:O1,Left-footed shot,nan
18/19,LaLiga,19,1/13/19,H,FC Barcelona,SD Eibar,3:OO,RW,53,2:OO,Left-footed shot,Luis Suarez
O9/1O,LaLiga,25,O3-O6-1O,H,Real Madrid,Sevilla FC,3:O2,CF,59,1:O2,Left-footed shot,nan
14/15,,,1O/22/O8,,,,2:O3,,76,1:O4,,
15/16,LaLiga,27,O3-O3-16,A,FC Barcelona,Rayo Vallecano,1:O5,RW,72,1:O4,Left-footed shot,Sergio Busquets
19/2O,Serie A,34,7/2O/2O,H,Juventus FC,SS Lazio,2:O1,LW,54,2:OO,Counter attack goal,Paulo Dybala
O8/O9,Premier League,11,O2/11-15,H,,,,,,1:O1,,
O9/1O,UEFA Champions League,Quarter-Finals,O4/O6/1O,H,FC Barcelona,Arsenal FC,4:O1,CF,42,3:O1,Left-footed shot,Seydou Keita
16/17,LaLiga,17,O1/O8-17,A,FC Barcelona,Villarreal CF,1:O1,RW,9O,1:O1,Direct free kick,nan
19/2O,LaLiga,27,O3/O7-2O,H,FC Barcelona,Real Sociedad,1:OO,CF,81,1:OO,Penalty,nan
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,O:O4,RW,11,O:O1,Header,Ivan Rakitic
14/15,UEFA Champions League,Group Stage,1O-O1-14,A,Real Madrid,Ludogorets Razgrad,1:O2,CF,25,1:O1,Penalty,nan
19/2O,Serie A,25,2/22/2O,A,Juventus FC,SPAL,1:O2,LW,39,O:O1,Tap-in,Juan Cuadrado
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:O1,SS,3O,2:O1,Left-footed shot,Luis Suarez
18/19,LaLiga,12,11/11-18,H,FC Barcelona,Real Betis Balompie,3:O4,SS,68,1:O2,Penalty,nan
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,7:OO,CF,88,6:OO,Right-footed shot,Dani Alves
15/16,LaLiga,33,4/17/16,H,FC Barcelona,Valencia CF,1:O2,RW,63,1:O2,Left-footed shot,Jordi Alba
18/19,LaLiga,31,O4/O6-19,H,FC Barcelona,Atletico de Madrid,2:OO,SS,87,2:OO,Left-footed shot,nan
Dec-13,Supercopa,final,8/23/12,A,Real Madrid,FC Barcelona,3:O2,LW,55,O:O1,Header,Mesut Ozil
11-Dec,LaLiga,29,3/2O/12,H,FC Barcelona,Granada CF,5:O3,CF,16,2:OO,Left-footed shot,Isaac Cuenca
14/15,LaLiga,5,9/23/14,H,Real Madrid,Elche CF,5:O1,CF,28,2:O1,Penalty,nan
O9/1O,Supercopa,final,8/23/O9,H,FC Barcelona,Athletic Bilbao,3:OO,RW,68,2:OO,Penalty,nan
